id,english,japanese
1364,behavior,行動
1365,pretend,ふりをする
1366,conduct,(調査など)を行う
1367,draw,を(線で)描く
1368,describe,を言い表す
1369,fiction,小説
1370,drawing,絵
1371,art,芸術(作品)
1372,add,を加える
1373,above,の上に
1374,below,の下に
1375,alongside,のそばに
1376,desire,欲望
1377,keen,熱心な
1378,tease,からかう
1379,importantly,重要なことには
1380,character,性格
1381,discuss,について話し合う
1382,passive,受動的な
1383,evil,邪悪な
1384,mirror,鏡
1385,reflect,反射する
1386,present,存在して
1387,absent,欠席して
1388,current,現在の／流れ
1389,exist,存在する
1390,recent,最近の
1391,cheerful,元気のいい
1392,shy,内気な
1393,modest,謙虚な
1394,honest,正直な
1395,severe,厳格な
1396,strict,厳格な
1397,lazy,怠け者の
1398,argue,議論する
1399,evidence,証拠
1400,proof,証拠
1401,criticize,を批判する
1402,persist,固執する
1403,claim,を主張する
1404,insist,主張する
1405,conclude,と結論づける
1406,subsequently,それに続いて
1407,nearly,ほとんど
1408,symbol,象徴
1409,setting,環境，背景
1410,represent,を表す
1411,athlete,運動選手
1412,change,を変える
1413,exchange,を交換する
1414,alter,を変える
1415,replace,に取って代わる
1416,revolution,革命
1417,engagement,約束
1418,promise,約束する
1419,reservation,予約
1420,appointment,予約
1421,commitment,約束，公約
1422,literature,文学
1423,community,地域社会
1424,activist,活動家
1425,active,積極的な
1426,campaign,運動
1427,law,法律
1428,labor,労働者
1429,violation,違反
1430,lack,不足
1431,motivate,に動機を与える
1432,encourage,を促す
1433,garden,庭
1434,support,を支持する
1435,bank,銀行
1436,legal,合法的な
1437,rule,規則
1438,forbid,を禁じる
1439,accuse,を訴える
1440,court,法廷
1441,lawyer,弁護士
1442,crime,罪
1443,victim,被害者
1444,violence,暴力
1445,threat,脅迫，脅し
1446,thief,泥棒
1447,rob,から奪う
1448,deprive,〜から奪う
1449,steal,〜を盗む
1450,police,警察
